feature,mean_abs_shap
elo_diff,0.5671151956300742
avg_sets_p1,0.29818341566370477
avg_sets_p2,0.2893783241922809
rest_hours_p1,0.26343220510199056
rest_hours_p2,0.24727310626023133
form_diff,0.16332076900773723
form_p1,0.15496983517140814
form_p2,0.14953958654340077
elo_win_prob_p1,0.1343051745186308
age_diff,0.08183123080700606
age_p1,0.08035557803178983
ittf_rank_p1,0.06266963161575981
age_p2,0.05661187554799168
ittf_rank_p2,0.054122779536243545
h2h_matches,0.046287117420605206
rank_diff,0.04306097801805959
fatigue_p1,0.009847611817624495
fatigue_p2,0.005029534087493082
h2h_winrate_p1,0.0
h2h_recent_winrate_p1,0.0
implied_prob_p1,0.0
