feature,mean_abs_shap
elo_diff,0.60930866
avg_sets_p1,0.3008406
avg_sets_p2,0.2943733
rest_hours_p2,0.27405715
rest_hours_p1,0.2561743
form_p1,0.17348546
form_diff,0.16399933
form_p2,0.14265634
elo_win_prob_p1,0.08054949
age_diff,0.06173435
age_p1,0.05987178
rank_diff,0.043345775
h2h_matches,0.042323783
ittf_rank_p2,0.041923244
ittf_rank_p1,0.041896187
age_p2,0.033925064
fatigue_p2,0.015753081
fatigue_p1,0.015160125
h2h_recent_winrate_p1,0.0020963037
h2h_winrate_p1,0.0002896626
implied_prob_p1,0.0
