feature,mean_abs_shap
elo_diff,0.6210004
avg_sets_p1,0.26863855
avg_sets_p2,0.26355463
rest_hours_p2,0.23352613
rest_hours_p1,0.23003623
elo_win_prob_p1,0.22136623
form_p1,0.20500752
elo_intl_diff,0.20316386
form_p2,0.18355268
form_diff,0.14288618
wtt_rank_diff,0.070862636
wtt_rank_p2,0.04252374
age_diff,0.037024975
h2h_recent_winrate_p1,0.034515265
rank_diff,0.033128235
elo_intl_win_prob_p1,0.03301693
wtt_rank_p1,0.03147484
age_p1,0.029348088
ittf_rank_p2,0.02909456
ittf_rank_p1,0.02656998
h2h_winrate_p1,0.025776355
age_p2,0.018323563
h2h_matches,0.016431719
fatigue_p2,0.012889143
fatigue_p1,0.011058027
avg_set_margin_p1,0.0
set_margin_diff,0.0
close_sets_rate_p1,0.0
close_sets_rate_p2,0.0
avg_set_margin_p2,0.0
rank_velocity_p1,0.0
rank_velocity_p2,0.0
rank_velocity_diff,0.0
rank_stability_p2,0.0
rank_stability_p1,0.0
has_odds,0.0
implied_prob_p1,0.0
